PEDIDO;Driver ID;Driver Name;Destination Hub;Data;OnHoldReason;status
BR233002943286D;408;Merrilee Guiton;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Out of the route ;Delivered
BR234394562970Q;364;Marleah Waterman;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Out of the route ;OnHold
BR236198011409M;496;Derwin Stampfer;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2355680653647;247;Franchot Llewellin;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Normal;OnHold
BR234325019073V;25;Wallie Tytterton;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Out of the route ;OnHold
BR239940733206U;239;Irma Tows;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Out of the route ;Delivered
BR231268537602Q;489;Terri Muttock;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Address cannot be found;Delivering
BR234292786856Y;136;Laney Trumble;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Address cannot be found;Delivering
BR236385025445C;15;Hanni Arnowicz;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Out of the route ;OnHold
BR239572937270K;62;Darcee Keaton;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2368558378456;186;Torie Shearsby;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Out of the route ;Delivered
BR233277807910B;240;Samson Blaber;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2327712020575;404;Christin Parcall;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR230372004598V;289;Andria Timmes;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2317523637977;228;Randal Dobbison;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2390987675406;499;Marya Slane;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Out of the route ;OnHold
BR232012322504G;273;Carmelina Learman;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Normal;Delivering
BR236295770829B;314;Chase Kaley;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR231534327003L;313;Birgitta Basillon;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Normal;Delivered
BR236814166898T;132;Lucy Hryniewicz;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR231230233307I;192;Alexandros Faircley;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2360880863124;383;Derwin Windridge;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;App/Internet failure;OnHold
BR236269911553U;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR238061591602I;338;Cristy Bissill;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Out of the route ;Delivering
BR238337094915U;9;Vinni Matijevic;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Out of the route ;Delivered
BR2334152658991;321;Gerry Sambles;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2381180338554;25;Wallie Tytterton;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR232426894963T;45;Giovanna Janeway;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Out of the route ;OnHold
BR237392227885A;92;Cyrill Stiell;LM Hub_MG_Contagem;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR235546409226F;162;Alfonse Keele;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;App/Internet failure;Delivering
BR233279265714L;103;Berk Stithe;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR230110987896N;37;Danell Kock;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR236584079891F;47;Brooke Jaquiss;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR235850312360P;162;Alfonse Keele;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2399717184543;175;Daniel Musgrove;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR232287092064G;88;Corilla Todhunter;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Address cannot be found;OnHold
BR2341991048529;148;Sherilyn Steddall;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR234779167630N;496;Derwin Stampfer;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2372944053167;3;Harri Giraudel;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Normal;Delivered
BR233935800621D;41;Kliment Berwick;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Out of the route ;Delivered
BR236753143399O;142;Gabriell Stacey;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR233871197430D;322;Elsi McCrohon;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Normal;OnHold
BR234771557993K;193;Cullin Titterington;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;App/Internet failure;Delivered
BR230674001433F;250;Jeralee Devoy;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Normal;Delivering
BR231859884419W;436;Kile Hopkynson;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR233177548862C;493;Robert Weblin;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Normal;Delivered
BR2394186046410;468;Eustace Klimecki;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2312661955686;103;Berk Stithe;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Normal;OnHold
BR232703588665K;168;Jessalyn Steinhammer;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR232003109293A;260;Madelyn Ludlam;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR239300095460O;402;Wren Scholl;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Address cannot be found;OnHold
BR238210609522Z;109;Gray Hearns;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Address cannot be found;OnHold
BR239840090463I;497;Sheeree Letchmore;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Normal;Delivering
BR237436199768M;18;Faye Jamrowicz;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2309947993074;324;Aime Staite;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Out of the route ;Delivering
BR231973999667B;471;Gregoire Ayton;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR235596554998U;102;Walliw Touson;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR235522461050I;308;Enrichetta Quarrie;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Address cannot be found;Delivered
BR237414495910U;27;Marielle Pow;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;App/Internet failure;OnHold
BR235519083564E;418;Simon Czajkowska;LM Hub_MT_Cuiba;2024-04-22 00:00:00;App/Internet failure;OnHold
BR230244574442M;406;Osbourne Ashwell;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Address cannot be found;Delivered
BR233847606099B;176;George Stickels;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;Delivering
BR235582027108O;251;Adrienne Kitchingman;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR238303175526K;478;Chance Moine;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR235969004114P;21;Sadye Bust;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR234893693424H;359;Renado Balloch;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Normal;OnHold
BR239603859462F;16;Margot Fosdike;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Address cannot be found;OnHold
BR230402504396P;221;Katerina Razzell;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Normal;OnHold
BR235712071361V;61;Chelsae Frugier;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;App/Internet failure;OnHold
BR233875433090V;260;Madelyn Ludlam;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;App/Internet failure;Delivered
BR2352836269040;465;Neal D'Aeth;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2325587153188;395;Dur Hammerson;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Address cannot be found;Delivering
BR235912692280Y;500;Bryant McKenny;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;App/Internet failure;Delivered
BR238489086157E;42;Wilie Paul;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR2380620579107;38;Winny Marvell;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2347150123693;62;Darcee Keaton;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR2369808772720;470;Duncan Amner;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;App/Internet failure;Delivering
BR238027848676Y;188;Donni Tabart;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2307075241040;243;Ariel Barrar;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR233744685150W;272;Al Dederick;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Normal;Delivering
BR231063555158Z;328;Phyllis Wahncke;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR234119370865U;218;Annaliese Faichney;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2345658696990;66;Ilene Postle;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR235151506039K;92;Cyrill Stiell;LM Hub_MG_Contagem;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2388601496864;193;Cullin Titterington;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR235772127868L;138;Bennett Legrand;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Normal;Delivered
BR236526692443B;169;Gerianne Rishworth;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2318572705365;179;Thebault Whitewood;LM Hub_MG_Contagem;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR233276698476B;254;Catha Seaborn;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Out of the route ;OnHold
BR2354138869384;126;Conchita Aysik;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR231178857203X;207;Celestyna Garfit;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2337820594223;101;Audy Trounce;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Out of the route ;Delivered
BR2363663308288;439;Michaelina Grisedale;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR230550357871D;186;Torie Shearsby;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Address cannot be found;Delivering
BR233877247362C;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;App/Internet failure;Delivered
BR233815790841E;200;Babara Bowlands;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR237478120219E;266;Irvin Pallin;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;App/Internet failure;Delivered
BR234527022550O;305;Stephine Atty;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2383766996132;458;Hunt Franzen;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR2350822687833;188;Donni Tabart;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR231999640170G;243;Ariel Barrar;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2364778954597;351;Juliana Dellenbrook;LM Hub_RJ_São João do Meriti_Venda Velha;2024-04-22 00:00:00;Out of the route ;OnHold
BR2384269347065;233;Wheeler Cameli;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Normal;Delivered
BR2376456494190;293;Merwyn Sothern;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR237645024337C;75;My Charrier;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2397001917457;220;Tudor Tiddy;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2361895167535;362;De Beteriss;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Out of the route ;OnHold
BR232099928683V;59;Debee Niesel;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2369876337936;237;Olivette Oswald;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Normal;Delivered
BR234795437379W;172;Adela Wilbor;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;App/Internet failure;Delivering
BR236598496052X;87;Rand Schustl;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2359475180986;373;Selene Conneely;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Out of the route ;OnHold
BR232455570134B;492;Sylvia Cheer;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2359069014658;377;Andrew Spiers;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Out of the route ;Delivering
BR235737404579F;447;Marshall Willbraham;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR238091976953E;240;Samson Blaber;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR233317440839W;76;Andie Danser;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;Delivered
BR237631552934O;394;Saunder Lobb;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Normal;OnHold
BR233994844983G;153;Kip Labrum;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR236973853476E;452;Web Janek;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR230904623183H;208;Jaquelyn Niece;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;App/Internet failure;OnHold
BR238484513705I;281;Brooks Tyas;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR235771653745C;477;Karola Curry;LM Hub_MG_Contagem;2024-04-22 00:00:00;Normal;OnHold
BR234650867837F;464;Fergus Crowest;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR234891100443F;309;Johnette Verillo;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2361686569815;331;Howey Hartill;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Out of the route ;Delivered
BR235337509138D;61;Chelsae Frugier;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2341198311106;36;Christoforo Lowrance;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Out of the route ;OnHold
BR2387412227723;112;Allys Ionnisian;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR237653391277H;37;Danell Kock;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Normal;Delivered
BR230028726111I;451;Lambert Matveiko;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Address cannot be found;OnHold
BR239836969761G;343;Aurilia Lepoidevin;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Normal;Delivering
BR2375126899403;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Address cannot be found;Delivered
BR237069699434D;279;Bellina Ludford;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2301854345479;407;Emanuel Walsh;LM Hub_RJ_São João do Meriti_Venda Velha;2024-04-22 00:00:00;Normal;Delivered
BR232765568003J;17;Eugenie Hindmoor;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Normal;OnHold
BR2388962663843;68;Darryl De Clairmont;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR235649662415D;79;Donelle Duberry;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Out of the route ;OnHold
BR234382878722O;52;Jilli Thackray;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2337439180755;435;Rodolph Collyear;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;App/Internet failure;Delivered
BR234847342462F;257;Maryellen Thurlow;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR231594812222M;149;Carolan Schellig;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Out of the route ;OnHold
BR237842000153S;184;Glynis Blundell;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2347817373389;369;Doralynn Klimkowski;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;App/Internet failure;OnHold
BR235188464786D;465;Neal D'Aeth;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Out of the route ;Delivering
BR2383684042789;182;Benita Halsworth;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Address cannot be found;OnHold
BR230798096229N;186;Torie Shearsby;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2306259447740;7;Simone Hammett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR233020478911N;453;Gypsy Burtonshaw;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR237101686966I;275;Normy Blais;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR237258843159Y;467;Orel Fiddyment;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR238384406347M;361;Danie Hardman;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR230149248498R;275;Normy Blais;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2340616016485;426;Emelda Ferson;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Out of the route ;OnHold
BR235398963915W;417;Kassi Blackhurst;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2300225516068;23;Pyotr Bea;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR233492681202E;335;Gaylene Cotton;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR237623787199H;249;Briano Astbury;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR239558033754I;95;Marten Proven;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR237263836743P;4;Marillin Putley;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Normal;Delivered
BR238562302862Z;455;Micaela Crossan;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR231850009204B;14;Randee Luckey;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Address cannot be found;Delivering
BR238039735227Q;495;Elenore Maton;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR235863610982I;360;Kippie Burgisi;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Address cannot be found;OnHold
BR236773587728B;101;Audy Trounce;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR233725862090H;183;Deonne Dallimare;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR232422891583I;36;Christoforo Lowrance;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR236118556529S;63;Dominique Ben-Aharon;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Out of the route ;OnHold
BR231869140991W;240;Samson Blaber;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR236707031508O;47;Brooke Jaquiss;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR234091606534X;175;Daniel Musgrove;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2394998715653;416;Jessi Petegrew;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR238429256084I;360;Kippie Burgisi;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR2305133980899;265;Tuesday Iacoboni;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR234689184876A;316;Erskine Dybald;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Address cannot be found;Delivered
BR235840264262F;66;Ilene Postle;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Address cannot be found;Delivered
BR231735044033G;392;Clem Doctor;LM Hub_RJ_São João do Meriti_Venda Velha;2024-04-22 00:00:00;Address cannot be found;OnHold
BR237102376898J;340;Loren Sandells;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Out of the route ;OnHold
BR235808661048U;467;Orel Fiddyment;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR232398404868T;362;De Beteriss;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Normal;Delivered
BR238877195294N;192;Alexandros Faircley;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2377270644299;107;Arron Yelden;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2300636153002;34;Marchall Ellett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2326364214087;400;Mauricio Spavon;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Normal;Delivered
BR233812048117T;13;Miltie Owens;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR233624265407E;162;Alfonse Keele;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR237579692268Z;282;Allen Kerner;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Out of the route ;Delivered
BR238723334447A;110;Renaud Sporner;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Normal;OnHold
BR233938498757E;190;Gaylord Pepineaux;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2343945970426;303;Candida Raddish;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2368684996594;390;Livvyy Labat;LM Hub_MG_Contagem;2024-04-22 00:00:00;Normal;Delivered
BR236228046019P;61;Chelsae Frugier;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR230225541117Y;14;Randee Luckey;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Out of the route ;Delivering
BR238633766362Q;169;Gerianne Rishworth;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Out of the route ;Delivering
BR2317948634959;260;Madelyn Ludlam;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2324592422257;425;Lilyan Lynds;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Normal;OnHold
BR2336682568424;496;Derwin Stampfer;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR237812453759C;157;Jeanelle MacKissack;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2380905238526;387;Trula Tourville;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR239446092604D;184;Glynis Blundell;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;App/Internet failure;Delivering
BR239779505060R;466;Randi Colpus;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR234348963654Q;140;Jase Hathorn;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Address cannot be found;OnHold
BR235442234090O;175;Daniel Musgrove;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;App/Internet failure;Delivered
